Country,TotalCases,TotalDeaths,Recovered,ActiveCases,SeriousCases,CasesPerMil,DeathsPerMil,TotalTests,TestsPerMil,Continent,Population,MedianAge
Nigeria,542,19,166,357,2,3,0.09,7153,35,Africa,206139589,18
Bolivia,520,32,31,457,3,45,3,3569,306,South America,11673021,26
Guinea,518,3,65,450,0,39,0.2,0,0,Africa,13132795,18
Uruguay,517,9,298,210,14,149,3,12478,3592,South America,3473730,36
Kyrgyzstan,506,5,130,371,5,78,0.8,26147,4008,Asia,6524195,26
Channel Islands,484,21,73,390,0,2784,121,3320,19095,Europe,173863,43
Honduras,457,46,10,401,10,46,5,2396,242,North America,9904607,24
San Marino,455,39,60,356,15,13410,1149,1605,47302,Europe,33931,0
Malta,426,3,99,324,4,965,7,23253,52663,Europe,441543,43
Palestine,418,2,69,347,0,82,0.4,17329,3397,Asia,0,0
Jordan,413,7,269,137,5,40,0.7,20500,2009,Asia,10203134,24
Réunion,407,0,237,170,4,455,0,0,0,Africa,895312,36
Taiwan,398,6,178,214,0,17,0.3,52445,2202,Asia,23816775,42
Georgia,388,4,86,298,6,97,1,5027,1260,Asia,3989167,38
Senegal,350,3,211,136,1,21,0.2,0,0,Africa,16743927,19
Mauritius,325,9,180,136,3,256,7,9755,7670,Africa,1271768,37
DRC,307,25,26,256,0,3,0.3,0,0,Africa,0,0
Montenegro,307,5,55,247,7,489,8,3874,6168,Europe,628066,39
Isle of Man,297,6,180,111,11,3493,71,2414,28389,Europe,85033,0
Vietnam,268,0,201,67,8,3,0,206253,2119,Asia,97338579,32
Kenya,262,12,60,190,2,5,0.2,10784,201,Africa,53771296,20
Mayotte,254,4,117,133,6,931,15,1800,6598,Africa,272815,20
Sri Lanka,254,7,86,161,1,12,0.3,4768,223,Asia,21413249,34
Guatemala,235,7,21,207,3,13,0.4,7200,402,North America,17915568,23
Venezuela,227,9,117,101,4,8,0.3,299714,10540,South America,28435940,30
Mali,216,13,41,162,0,11,0.6,0,0,Africa,20250833,16
Paraguay,206,8,41,157,1,29,1,4950,694,South America,7132538,26
El Salvador,190,7,43,140,1,29,1,10191,1571,North America,6486205,28
Faeroe Islands,184,0,173,11,0,3766,0,5981,122403,Europe,48863,0
Martinique,163,12,73,78,11,434,32,0,0,North America,375265,47
Jamaica,163,5,25,133,0,55,2,1516,512,North America,2961167,31
Guadeloupe,148,8,73,67,13,370,20,0,0,North America,400124,44
Tanzania,147,5,11,131,4,2,0.08,0,0,Africa,59734218,18
Rwanda,144,0,69,75,0,11,0,6237,482,Africa,12952218,20
Congo,143,6,11,126,0,26,1,0,0,Africa,5518087,19
Brunei,137,1,113,23,2,313,2,11254,25725,Asia,0,0
Somalia,135,7,2,126,2,8,0.4,0,0,Africa,15893222,17
Gibraltar,132,0,111,21,1,3918,0,1859,55178,Europe,33691,0
Cambodia,122,0,103,19,1,7,0,5768,345,Asia,16718965,26
Madagascar,120,0,35,85,1,4,0,2357,85,Africa,27691018,20
Trinidad and Tobago,114,8,21,85,0,81,6,1320,943,North America,1399488,36
Gabon,108,1,7,100,0,49,0.4,572,257,Africa,2225734,23
Myanmar,107,5,5,97,0,2,0.09,4065,75,Asia,54409800,29
Ethiopia,105,3,16,86,1,0.9,0.03,6890,60,Africa,114963588,19
French Guiana,96,0,64,32,2,321,0,0,0,South America,298682,25
Aruba,96,2,44,50,4,899,19,1358,12719,North America,106766,41
Monaco,94,3,22,69,3,2395,76,0,0,Europe,39242,0
Togo,84,5,49,30,0,10,0.6,4191,506,Africa,8278724,19
Bermuda,83,5,35,43,9,1333,80,552,8863,North America,62278,0
Liechtenstein,79,1,55,23,0,2072,26,900,23605,Europe,38128,0
Equatorial Guinea,79,0,4,75,0,56,0,854,609,Africa,1402985,22
Liberia,76,7,7,62,0,15,1,0,0,Africa,5057681,19
Barbados,75,5,17,53,4,261,17,1000,3480,North America,287375,40
Sudan,66,10,6,50,0,2,0.2,0,0,Africa,43849260,20
Sint Maarten,64,9,12,43,6,1493,210,163,3802,North America,42876,0
Guyana,63,6,9,48,4,80,8,283,360,South America,786552,27
Cayman Islands,61,1,7,53,3,928,15,702,10681,North America,65722,0
Cabo Verde,58,1,1,56,0,104,2,0,0,Africa,555987,28
Zambia,57,2,33,22,1,3,0.1,2191,119,Africa,18383955,18
Bahamas,55,9,10,36,1,140,23,0,0,North America,393244,32
French Polynesia,55,0,2,53,1,196,0,1302,4635,Australia/Oceania,280908,34
Uganda,55,0,22,33,0,1,0,11101,243,Africa,45741007,17
Libya,49,1,11,37,0,7,0.1,707,103,Africa,6871292,29
Guinea-Bissau,46,0,0,46,0,23,0,1500,762,Africa,1968001,19
Macao,45,0,16,29,1,69,0,0,0,Asia,649335,39
Haiti,44,3,0,41,0,4,0.3,498,44,North America,11402528,24
Eritrea,39,0,3,36,0,11,0,0,0,Africa,3546421,19
Syria,38,2,5,31,0,2,0.1,0,0,Asia,17500658,26
Saint Martin,37,2,19,16,5,957,52,0,0,North America,38666,0
Maldives,35,0,16,19,0,65,0,3714,6871,Asia,540544,30
Benin,35,1,18,16,0,3,0.08,0,0,Africa,12123200,19
Mozambique,35,0,4,31,0,1,0,952,30,Africa,31255435,18
Chad,33,0,8,25,0,2,0,0,0,Africa,16425864,17
Nepal,31,0,3,28,0,1,0,15800,542,Asia,29136808,25
Mongolia,31,0,5,26,0,9,0,1450,442,Asia,3278290,28
Sierra Leone,30,0,0,30,0,4,0,0,0,Africa,7976983,19
Zimbabwe,25,3,2,20,0,2,0.2,2626,177,Africa,14862924,19
Angola,24,2,6,16,0,0.7,0.06,0,0,Africa,32866272,17
Antigua and Barbuda,23,3,3,17,1,235,31,73,745,North America,97929,34
Eswatini,22,1,8,13,0,19,0.9,714,615,Africa,1160164,21
Laos,19,0,2,17,0,3,0,1318,181,Asia,7275560,24
Timor-Leste,18,0,1,17,0,14,0,0,0,Asia,1318445,21
New Caledonia,18,0,14,4,1,63,0,3399,11906,Australia/Oceania,285498,34
